"stateOfIncorporationDescription","count"
"DE","296611"
"Cayman Islands","25569"
"TX","20949"
"CA","16764"
"NY","15856"
"NV","10433"
"FL","9986"
"IL","6549"
"CO","6275"
"MD","5821"
"PA","5276"
"OH","5107"
"MA","4914"
"GA","4904"
"WA","4863"
"NC","3928"
"Luxembourg","3819"
"VA","3787"
"KS","3557"
"Virgin Islands, British","3183"
"United Kingdom","3171"
"NJ","3045"
"AZ","2920"
"MI","2820"
"WY","2631"
"MN","2602"
"IN","2551"
"TN","2541"
"UT","2449"
"British Columbia, Canada","2320"
"Ontario, Canada","2299"
"WI","2194"
"MO","2109"
"OR","2048"
"KY","1723"
"OK","1666"
"CT","1537"
"XX","1264"
"AL","1261"
"SC","1242"
"IA","1189"
"LA","1154"
"Ireland","1121"
"Bermuda","1109"
"VT","1018"
"AR","1012"
"de","892"
"Alberta, Canada","879"
"Guernsey","868"
"Jersey","825"
"Australia","789"
"ID","774"
"NE","765"
"Japan","757"
"Marshall Islands","695"
"Canada (Federal Level)","689"
"MS","631"
"Hong Kong","619"
"SD","585"
"Netherlands","564"
"NH","550"
"ME","520"
"Singapore","499"
"Israel","497"
"WV","497"
"Mauritius","449"
"Germany","448"
"DC","428"
"France","424"
"NM","409"
"ND","403"
"PR","394"
"Switzerland","382"
"HI","377"
"China","325"
"RI","319"
"MT","315"
"United States","304"
"Quebec, Canada","293"
"Sweden","293"
"Mexico","253"
"Brazil","248"
"AK","231"
"India","208"
"Bahamas","208"
"Liberia","161"
"ca","159"
"Spain","146"
"Cyprus","146"
"Panama","145"
"Korea, Republic of","142"
"Jamaica","141"
"Nova Scotia, Canada","126"
"Denmark","118"
"Italy","116"
"tx","115"
"Norway","103"
"Belgium","80"
"Malta","80"
"South Africa","79"
"Gibraltar","72"
"Netherlands Antilles","71"
"New Zealand","71"
"United Arab Emirates","69"
"Malaysia","67"
"Taiwan, Province of China","66"
"Chile","62"
"Barbados","59"
"Manitoba, Canada","59"
"Finland","58"
"nv","58"
"fl","57"
"ny","52"
"Russian Federation","47"
"VI","46"
"Argentina","46"
"Isle of Man","45"
"Belize","43"
"Austria","41"
"Seychelles","40"
"co","37"
"wa","36"
"pa","34"
"Saskatchewan, Canada","33"
"New Brunswick, Canada","32"
"md","30"
"Portugal","28"
"il","28"
"Yukon, Canada","27"
"Poland","27"
"Samoa","27"
"Liechtenstein","27"
"ut","26"
"xx","25"
"Saint Kitts and Nevis","24"
"oh","24"
"Estonia","23"
"Hungary","22"
"ga","22"
"Philippines","21"
"Thailand","20"
"Iceland","20"
"mo","20"
"Uruguay","19"
"az","19"
"Turks and Caicos Islands","18"
"Peru","18"
"or","18"
"va","18"
"Anguilla","17"
"Saudi Arabia","16"
"Macau","16"
"nc","16"
"Costa Rica","15"
"British Indian Ocean Territory","15"
"ky","15"
"id","15"
"Turkey","13"
"Cook Islands","13"
"Czech Republic","13"
"Saint Lucia","13"
"Greece","13"
"ma","13"
"in","13"
"Monaco","12"
"Colombia","12"
"Indonesia","11"
"mi","11"
"al","11"
"Mongolia","10"
"ok","10"
"nj","10"
"I8","9"
"wi","9"
"E6","8"
"Newfoundland, Canada","8"
"Qatar","8"
"me","8"
"Paraguay","8"
"Ukraine","7"
"sd","7"
"GU","6"
"Prince Edward Island, Canada","6"
"Saint Vincent and the Grenadines","6"
"I9","6"
"Antigua and Barbuda","6"
"mn","6"
"ne","6"
"ar","6"
"wy","6"
"tn","6"
"Congo, the Democratic Republic of the","5"
"Korea, Democratic People's Republic of","5"
"Grenada","5"
"X9","5"
"Morocco","5"
"Georgia (country)","5"
"Tanzania, United Republic of","5"
"Kazakhstan","5"
"Egypt","5"
"ct","5"
"Ethiopia","5"
"Dominican Republic","4"
"Kuwait","4"
"Ghana","4"
"United States Minor Outlying Islands","4"
"De","4"
"la","4"
"hi","4"
"nm","4"
"nd","4"
"ks","4"
"Zimbabwe","3"
"E7","3"
"Venezuela","3"
"Slovenia","3"
"Croatia","3"
"Bulgaria","3"
"Romania","3"
"El Salvador","3"
"Haiti","3"
"Guyana","3"
"Trinidad and Tobago","3"
"Oman","3"
"Ecuador","3"
"sc","3"
"ms","3"
"ia","3"
"dc","3"
"Slovakia","3"
"Nigeria","3"
"Faroe Islands","2"
"Myanmar","2"
"Swaziland","2"
"Pakistan","2"
"Uganda","2"
"Dominica","2"
"vt","2"
"nh","2"
"wv","2"
"Ca","2"
"Lebanon","2"
"Guatemala","2"
"Honduras","2"
"Antarctica","2"
"Papua New Guinea","2"
"Brunei Darussalam","2"
"U2","1"
"O6","1"
"Bosnia and Herzegovina","1"
"Serbia","1"
"Kenya","1"
"Zambia","1"
"Cocos (Keeling) Islands","1"
"Il","1"
"In","1"
"Tn","1"
"mt","1"
"ak","1"
"Al","1"
"Fl","1"
"Tajikistan","1"
"Nicaragua","1"
"Micronesia, Federated States of","1"
"Bahrain","1"
"Bhutan","1"
"Christmas Island","1"
"Fiji","1"
"Falkland Islands (Malvinas)","1"
"Viet Nam","1"
"Jordan","1"
"Namibia","1"
"French Polynesia","1"
"American Samoa","1"
"Belarus","1"
"Northern Mariana Islands","1"
"Madagascar","1"
"Gabon","1"
"Central African Republic","1"
"Wallis and Futuna","1"
"Lithuania","1"
"Aruba","1"
