cik,date,value,component
9534,2001-01-01,1,adoption_domestic
9749,2001-01-01,1,adoption_domestic
796534,2001-01-01,1,adoption_domestic
813828,2001-01-01,1,adoption_domestic
881695,2001-01-01,1,adoption_domestic
895730,2001-01-01,1,adoption_domestic
924101,2001-01-01,1,adoption_domestic
1005229,2001-01-01,1,adoption_domestic
1045014,2001-01-01,1,adoption_domestic
1062622,2001-01-01,1,adoption_domestic
1062623,2001-01-01,1,adoption_domestic
1062624,2001-01-01,1,adoption_domestic
1064435,2001-01-01,1,adoption_domestic
1071598,2001-01-01,1,adoption_domestic
1085475,2001-01-01,1,adoption_domestic
1085476,2001-01-01,1,adoption_domestic
1085537,2001-01-01,1,adoption_domestic
1089341,2001-01-01,1,adoption_domestic
1091667,2001-01-01,1,adoption_domestic
1092935,2001-01-01,1,adoption_domestic
1113948,2001-01-01,1,adoption_domestic
9534,2002-01-01,1,adoption_domestic
9749,2002-01-01,1,adoption_domestic
318378,2002-01-01,1,adoption_domestic
352789,2002-01-01,1,adoption_domestic
796534,2002-01-01,1,adoption_domestic
805792,2002-01-01,1,adoption_domestic
813298,2002-01-01,1,adoption_domestic
895730,2002-01-01,1,adoption_domestic
943605,2002-01-01,1,adoption_domestic
1045014,2002-01-01,1,adoption_domestic
1064435,2002-01-01,1,adoption_domestic
1071598,2002-01-01,1,adoption_domestic
1083663,2002-01-01,1,adoption_domestic
1094816,2002-01-01,1,adoption_domestic
1124653,2002-01-01,1,adoption_domestic
9534,2003-01-01,1,adoption_domestic
318378,2003-01-01,1,adoption_domestic
352789,2003-01-01,1,adoption_domestic
716039,2003-01-01,1,adoption_domestic
773468,2003-01-01,1,adoption_domestic
777491,2003-01-01,1,adoption_domestic
785786,2003-01-01,1,adoption_domestic
796534,2003-01-01,1,adoption_domestic
813298,2003-01-01,1,adoption_domestic
817473,2003-01-01,1,adoption_domestic
865752,2003-01-01,1,adoption_domestic
889057,2003-01-01,1,adoption_domestic
895421,2003-01-01,1,adoption_domestic
895730,2003-01-01,1,adoption_domestic
931784,2003-01-01,1,adoption_domestic
1003815,2003-01-01,1,adoption_domestic
1034842,2003-01-01,1,adoption_domestic
1045014,2003-01-01,1,adoption_domestic
1071598,2003-01-01,1,adoption_domestic
1083663,2003-01-01,1,adoption_domestic
1090012,2003-01-01,1,adoption_domestic
1111590,2003-01-01,1,adoption_domestic
1124653,2003-01-01,1,adoption_domestic
1163165,2003-01-01,1,adoption_domestic
1195454,2003-01-01,1,adoption_domestic
318378,2004-01-01,1,adoption_domestic
352789,2004-01-01,1,adoption_domestic
716039,2004-01-01,1,adoption_domestic
723527,2004-01-01,1,adoption_domestic
773468,2004-01-01,1,adoption_domestic
777491,2004-01-01,1,adoption_domestic
796534,2004-01-01,1,adoption_domestic
813298,2004-01-01,1,adoption_domestic
889057,2004-01-01,1,adoption_domestic
895730,2004-01-01,1,adoption_domestic
931784,2004-01-01,1,adoption_domestic
1034842,2004-01-01,1,adoption_domestic
1045014,2004-01-01,1,adoption_domestic
1066026,2004-01-01,1,adoption_domestic
1083663,2004-01-01,1,adoption_domestic
