filing_date,count,component
2001-12-31,21,adoption_domestic
2002-12-31,15,adoption_domestic
2003-12-31,25,adoption_domestic
2004-12-31,20,adoption_domestic
2005-12-31,18,adoption_domestic
2006-12-31,18,adoption_domestic
2007-12-31,19,adoption_domestic
2008-12-31,26,adoption_domestic
2009-12-31,19,adoption_domestic
2010-12-31,20,adoption_domestic
2011-12-31,19,adoption_domestic
2012-12-31,14,adoption_domestic
2013-12-31,17,adoption_domestic
2014-12-31,103,adoption_domestic
2015-12-31,162,adoption_domestic
2016-12-31,208,adoption_domestic
2017-12-31,253,adoption_domestic
2018-12-31,377,adoption_domestic
2019-12-31,381,adoption_domestic
2020-12-31,447,adoption_domestic
2021-12-31,496,adoption_domestic
2022-12-31,598,adoption_domestic
2023-12-31,598,adoption_domestic
2024-12-31,618,adoption_domestic
2025-12-31,581,adoption_domestic
2014-12-31,1,holdings_domestic
2015-12-31,0,holdings_domestic
2016-12-31,2,holdings_domestic
2017-12-31,2,holdings_domestic
2018-12-31,7,holdings_domestic
2019-12-31,19,holdings_domestic
2020-12-31,56,holdings_domestic
2021-12-31,33,holdings_domestic
2022-12-31,44,holdings_domestic
2023-12-31,82,holdings_domestic
2024-12-31,108,holdings_domestic
2025-12-31,124,holdings_domestic
2001-12-31,77,mining_domestic
2002-12-31,86,mining_domestic
2003-12-31,157,mining_domestic
2004-12-31,160,mining_domestic
2005-12-31,164,mining_domestic
2006-12-31,179,mining_domestic
2007-12-31,172,mining_domestic
2008-12-31,263,mining_domestic
2009-12-31,418,mining_domestic
2010-12-31,421,mining_domestic
2011-12-31,464,mining_domestic
2012-12-31,447,mining_domestic
2013-12-31,426,mining_domestic
2014-12-31,372,mining_domestic
2015-12-31,314,mining_domestic
2016-12-31,288,mining_domestic
2017-12-31,274,mining_domestic
2018-12-31,267,mining_domestic
2019-12-31,258,mining_domestic
2020-12-31,238,mining_domestic
2021-12-31,256,mining_domestic
2022-12-31,304,mining_domestic
2023-12-31,297,mining_domestic
2024-12-31,306,mining_domestic
2025-12-31,271,mining_domestic
2017-12-31,2,investment_domestic
2018-12-31,4,investment_domestic
2019-12-31,0,investment_domestic
2020-12-31,1,investment_domestic
2021-12-31,8,investment_domestic
2022-12-31,6,investment_domestic
2023-12-31,7,investment_domestic
2024-12-31,17,investment_domestic
2025-12-31,25,investment_domestic
2022-12-31,2,risk_domestic
2023-12-31,3,risk_domestic
2024-12-31,4,risk_domestic
2025-12-31,4,risk_domestic
