cik,date,value,component
1016601,2001-01-01,1,adoption_domestic
1088383,2001-01-01,1,adoption_domestic
1088384,2001-01-01,1,adoption_domestic
1088385,2001-01-01,1,adoption_domestic
1088386,2001-01-01,1,adoption_domestic
1089341,2001-01-01,1,adoption_domestic
1092935,2001-01-01,1,adoption_domestic
1113948,2001-01-01,1,adoption_domestic
99047,2002-01-01,1,adoption_domestic
801348,2002-01-01,1,adoption_domestic
829114,2002-01-01,1,adoption_domestic
846581,2002-01-01,1,adoption_domestic
905895,2002-01-01,1,adoption_domestic
1042825,2002-01-01,1,adoption_domestic
1132327,2002-01-01,1,adoption_domestic
1156375,2002-01-01,1,adoption_domestic
110471,2003-01-01,1,adoption_domestic
801348,2003-01-01,1,adoption_domestic
829114,2003-01-01,1,adoption_domestic
846581,2003-01-01,1,adoption_domestic
905895,2003-01-01,1,adoption_domestic
1042825,2003-01-01,1,adoption_domestic
1082337,2003-01-01,1,adoption_domestic
1120193,2003-01-01,1,adoption_domestic
1132327,2003-01-01,1,adoption_domestic
1156375,2003-01-01,1,adoption_domestic
55387,2004-01-01,1,adoption_domestic
60549,2004-01-01,1,adoption_domestic
782842,2004-01-01,1,adoption_domestic
801348,2004-01-01,1,adoption_domestic
806085,2004-01-01,1,adoption_domestic
829114,2004-01-01,1,adoption_domestic
846581,2004-01-01,1,adoption_domestic
926295,2004-01-01,1,adoption_domestic
1132327,2004-01-01,1,adoption_domestic
1156375,2004-01-01,1,adoption_domestic
736260,2005-01-01,1,adoption_domestic
801348,2005-01-01,1,adoption_domestic
806085,2005-01-01,1,adoption_domestic
829114,2005-01-01,1,adoption_domestic
846581,2005-01-01,1,adoption_domestic
920424,2005-01-01,1,adoption_domestic
1089044,2005-01-01,1,adoption_domestic
1107389,2005-01-01,1,adoption_domestic
1132327,2005-01-01,1,adoption_domestic
1156375,2005-01-01,1,adoption_domestic
1173284,2005-01-01,1,adoption_domestic
1278021,2005-01-01,1,adoption_domestic
739708,2006-01-01,1,adoption_domestic
801348,2006-01-01,1,adoption_domestic
806085,2006-01-01,1,adoption_domestic
829114,2006-01-01,1,adoption_domestic
846581,2006-01-01,1,adoption_domestic
920424,2006-01-01,1,adoption_domestic
946647,2006-01-01,1,adoption_domestic
1084580,2006-01-01,1,adoption_domestic
1089044,2006-01-01,1,adoption_domestic
1120193,2006-01-01,1,adoption_domestic
1144331,2006-01-01,1,adoption_domestic
1156375,2006-01-01,1,adoption_domestic
1278021,2006-01-01,1,adoption_domestic
1326579,2006-01-01,1,adoption_domestic
1334978,2006-01-01,1,adoption_domestic
9892,2007-01-01,1,adoption_domestic
65100,2007-01-01,1,adoption_domestic
97745,2007-01-01,1,adoption_domestic
352915,2007-01-01,1,adoption_domestic
738076,2007-01-01,1,adoption_domestic
739708,2007-01-01,1,adoption_domestic
753682,2007-01-01,1,adoption_domestic
801348,2007-01-01,1,adoption_domestic
806085,2007-01-01,1,adoption_domestic
829114,2007-01-01,1,adoption_domestic
846581,2007-01-01,1,adoption_domestic
920424,2007-01-01,1,adoption_domestic
946647,2007-01-01,1,adoption_domestic
1004155,2007-01-01,1,adoption_domestic
1042134,2007-01-01,1,adoption_domestic
1089044,2007-01-01,1,adoption_domestic
1120193,2007-01-01,1,adoption_domestic
1156375,2007-01-01,1,adoption_domestic
1278021,2007-01-01,1,adoption_domestic
1334978,2007-01-01,1,adoption_domestic
1341853,2007-01-01,1,adoption_domestic
1341854,2007-01-01,1,adoption_domestic
4611,2008-01-01,1,adoption_domestic
65100,2008-01-01,1,adoption_domestic
739708,2008-01-01,1,adoption_domestic
777001,2008-01-01,1,adoption_domestic
801348,2008-01-01,1,adoption_domestic
806085,2008-01-01,1,adoption_domestic
829114,2008-01-01,1,adoption_domestic
846581,2008-01-01,1,adoption_domestic
920424,2008-01-01,1,adoption_domestic
1089044,2008-01-01,1,adoption_domestic
1156375,2008-01-01,1,adoption_domestic
1271808,2008-01-01,1,adoption_domestic
1278021,2008-01-01,1,adoption_domestic
1334978,2008-01-01,1,adoption_domestic
1341853,2008-01-01,1,adoption_domestic
1341854,2008-01-01,1,adoption_domestic
1368007,2008-01-01,1,adoption_domestic
1376067,2008-01-01,1,adoption_domestic
65100,2009-01-01,1,adoption_domestic
319450,2009-01-01,1,adoption_domestic
801348,2009-01-01,1,adoption_domestic
829114,2009-01-01,1,adoption_domestic
846581,2009-01-01,1,adoption_domestic
920424,2009-01-01,1,adoption_domestic
1083848,2009-01-01,1,adoption_domestic
1109219,2009-01-01,1,adoption_domestic
1120193,2009-01-01,1,adoption_domestic
1271808,2009-01-01,1,adoption_domestic
1278021,2009-01-01,1,adoption_domestic
1334978,2009-01-01,1,adoption_domestic
1376067,2009-01-01,1,adoption_domestic
1400891,2009-01-01,1,adoption_domestic
64040,2010-01-01,1,adoption_domestic
739708,2010-01-01,1,adoption_domestic
748790,2010-01-01,1,adoption_domestic
801348,2010-01-01,1,adoption_domestic
814184,2010-01-01,1,adoption_domestic
829114,2010-01-01,1,adoption_domestic
846581,2010-01-01,1,adoption_domestic
920424,2010-01-01,1,adoption_domestic
1096298,2010-01-01,1,adoption_domestic
1109219,2010-01-01,1,adoption_domestic
1120193,2010-01-01,1,adoption_domestic
1179090,2010-01-01,1,adoption_domestic
1271808,2010-01-01,1,adoption_domestic
1278021,2010-01-01,1,adoption_domestic
1334978,2010-01-01,1,adoption_domestic
1376067,2010-01-01,1,adoption_domestic
1400891,2010-01-01,1,adoption_domestic
1475430,2010-01-01,1,adoption_domestic
93751,2011-01-01,1,adoption_domestic
739708,2011-01-01,1,adoption_domestic
801348,2011-01-01,1,adoption_domestic
829114,2011-01-01,1,adoption_domestic
846581,2011-01-01,1,adoption_domestic
886982,2011-01-01,1,adoption_domestic
920424,2011-01-01,1,adoption_domestic
1120193,2011-01-01,1,adoption_domestic
1123852,2011-01-01,1,adoption_domestic
1262449,2011-01-01,1,adoption_domestic
1262450,2011-01-01,1,adoption_domestic
1271808,2011-01-01,1,adoption_domestic
1278021,2011-01-01,1,adoption_domestic
1310982,2011-01-01,1,adoption_domestic
1334978,2011-01-01,1,adoption_domestic
1376067,2011-01-01,1,adoption_domestic
1376074,2011-01-01,1,adoption_domestic
1400891,2011-01-01,1,adoption_domestic
1444363,2011-01-01,1,adoption_domestic
4962,2012-01-01,1,adoption_domestic
67347,2012-01-01,1,adoption_domestic
93751,2012-01-01,1,adoption_domestic
739708,2012-01-01,1,adoption_domestic
801348,2012-01-01,1,adoption_domestic
829114,2012-01-01,1,adoption_domestic
846581,2012-01-01,1,adoption_domestic
886982,2012-01-01,1,adoption_domestic
914748,2012-01-01,1,adoption_domestic
915862,2012-01-01,1,adoption_domestic
1060749,2012-01-01,1,adoption_domestic
1084580,2012-01-01,1,adoption_domestic
1120193,2012-01-01,1,adoption_domestic
1278021,2012-01-01,1,adoption_domestic
1334978,2012-01-01,1,adoption_domestic
1376067,2012-01-01,1,adoption_domestic
1400891,2012-01-01,1,adoption_domestic
1444363,2012-01-01,1,adoption_domestic
1529979,2012-01-01,1,adoption_domestic
4962,2013-01-01,1,adoption_domestic
712771,2013-01-01,1,adoption_domestic
801348,2013-01-01,1,adoption_domestic
829114,2013-01-01,1,adoption_domestic
831001,2013-01-01,1,adoption_domestic
846581,2013-01-01,1,adoption_domestic
886982,2013-01-01,1,adoption_domestic
921768,2013-01-01,1,adoption_domestic
1060749,2013-01-01,1,adoption_domestic
1084580,2013-01-01,1,adoption_domestic
1120193,2013-01-01,1,adoption_domestic
1278021,2013-01-01,1,adoption_domestic
1376067,2013-01-01,1,adoption_domestic
1444363,2013-01-01,1,adoption_domestic
1455768,2013-01-01,1,adoption_domestic
1483386,2013-01-01,1,adoption_domestic
4962,2014-01-01,1,adoption_domestic
96223,2014-01-01,1,adoption_domestic
712771,2014-01-01,1,adoption_domestic
801348,2014-01-01,1,adoption_domestic
829114,2014-01-01,1,adoption_domestic
831001,2014-01-01,1,adoption_domestic
846581,2014-01-01,1,adoption_domestic
886982,2014-01-01,1,adoption_domestic
1001288,2014-01-01,1,adoption_domestic
1084580,2014-01-01,1,adoption_domestic
1127703,2014-01-01,1,adoption_domestic
1133869,2014-01-01,1,adoption_domestic
1175609,2014-01-01,1,adoption_domestic
1325878,2014-01-01,1,adoption_domestic
1331754,2014-01-01,1,adoption_domestic
1444363,2014-01-01,1,adoption_domestic
1483386,2014-01-01,1,adoption_domestic
1520744,2014-01-01,1,adoption_domestic
1569391,2014-01-01,1,adoption_domestic
4962,2015-01-01,1,adoption_domestic
96223,2015-01-01,1,adoption_domestic
801348,2015-01-01,1,adoption_domestic
829114,2015-01-01,1,adoption_domestic
846581,2015-01-01,1,adoption_domestic
911147,2015-01-01,1,adoption_domestic
1084580,2015-01-01,1,adoption_domestic
1305014,2015-01-01,1,adoption_domestic
1436229,2015-01-01,1,adoption_domestic
1444363,2015-01-01,1,adoption_domestic
1457612,2015-01-01,1,adoption_domestic
1483386,2015-01-01,1,adoption_domestic
1520744,2015-01-01,1,adoption_domestic
1569391,2015-01-01,1,adoption_domestic
1601545,2015-01-01,1,adoption_domestic
4962,2016-01-01,1,adoption_domestic
16040,2016-01-01,1,adoption_domestic
96223,2016-01-01,1,adoption_domestic
801348,2016-01-01,1,adoption_domestic
802257,2016-01-01,1,adoption_domestic
829114,2016-01-01,1,adoption_domestic
846581,2016-01-01,1,adoption_domestic
1084580,2016-01-01,1,adoption_domestic
1109242,2016-01-01,1,adoption_domestic
1142417,2016-01-01,1,adoption_domestic
1159167,2016-01-01,1,adoption_domestic
1318568,2016-01-01,1,adoption_domestic
1393052,2016-01-01,1,adoption_domestic
1444363,2016-01-01,1,adoption_domestic
1457612,2016-01-01,1,adoption_domestic
1483386,2016-01-01,1,adoption_domestic
1501570,2016-01-01,1,adoption_domestic
1529113,2016-01-01,1,adoption_domestic
1561387,2016-01-01,1,adoption_domestic
1569391,2016-01-01,1,adoption_domestic
1634424,2016-01-01,1,adoption_domestic
1670541,2016-01-01,1,adoption_domestic
96223,2017-01-01,1,adoption_domestic
708821,2017-01-01,1,adoption_domestic
815094,2017-01-01,1,adoption_domestic
895421,2017-01-01,1,adoption_domestic
1084580,2017-01-01,1,adoption_domestic
1133869,2017-01-01,1,adoption_domestic
1269021,2017-01-01,1,adoption_domestic
1423824,2017-01-01,1,adoption_domestic
1444363,2017-01-01,1,adoption_domestic
1457612,2017-01-01,1,adoption_domestic
1483386,2017-01-01,1,adoption_domestic
1499912,2017-01-01,1,adoption_domestic
1529628,2017-01-01,1,adoption_domestic
1569391,2017-01-01,1,adoption_domestic
1606363,2017-01-01,1,adoption_domestic
4962,2018-01-01,1,adoption_domestic
7431,2018-01-01,1,adoption_domestic
63330,2018-01-01,1,adoption_domestic
96223,2018-01-01,1,adoption_domestic
926282,2018-01-01,1,adoption_domestic
934549,2018-01-01,1,adoption_domestic
1006045,2018-01-01,1,adoption_domestic
1035976,2018-01-01,1,adoption_domestic
1051512,2018-01-01,1,adoption_domestic
1070985,2018-01-01,1,adoption_domestic
1082506,2018-01-01,1,adoption_domestic
1084580,2018-01-01,1,adoption_domestic
1159167,2018-01-01,1,adoption_domestic
1274792,2018-01-01,1,adoption_domestic
1278021,2018-01-01,1,adoption_domestic
1316898,2018-01-01,1,adoption_domestic
1368757,2018-01-01,1,adoption_domestic
1401667,2018-01-01,1,adoption_domestic
1444363,2018-01-01,1,adoption_domestic
1457612,2018-01-01,1,adoption_domestic
1483386,2018-01-01,1,adoption_domestic
1515139,2018-01-01,1,adoption_domestic
1515673,2018-01-01,1,adoption_domestic
1576940,2018-01-01,1,adoption_domestic
1585101,2018-01-01,1,adoption_domestic
1627487,2018-01-01,1,adoption_domestic
1697935,2018-01-01,1,adoption_domestic
4962,2019-01-01,1,adoption_domestic
357097,2019-01-01,1,adoption_domestic
724571,2019-01-01,1,adoption_domestic
726516,2019-01-01,1,adoption_domestic
889900,2019-01-01,1,adoption_domestic
910406,2019-01-01,1,adoption_domestic
1001171,2019-01-01,1,adoption_domestic
1035976,2019-01-01,1,adoption_domestic
1045425,2019-01-01,1,adoption_domestic
1084580,2019-01-01,1,adoption_domestic
1278021,2019-01-01,1,adoption_domestic
1280263,2019-01-01,1,adoption_domestic
