filing_date,count,component
2001-12-31,8,adoption_domestic
2002-12-31,8,adoption_domestic
2003-12-31,10,adoption_domestic
2004-12-31,10,adoption_domestic
2005-12-31,12,adoption_domestic
2006-12-31,15,adoption_domestic
2007-12-31,22,adoption_domestic
2008-12-31,18,adoption_domestic
2009-12-31,14,adoption_domestic
2010-12-31,18,adoption_domestic
2011-12-31,19,adoption_domestic
2012-12-31,19,adoption_domestic
2013-12-31,16,adoption_domestic
2014-12-31,19,adoption_domestic
2015-12-31,15,adoption_domestic
2016-12-31,22,adoption_domestic
2017-12-31,15,adoption_domestic
2018-12-31,27,adoption_domestic
2019-12-31,21,adoption_domestic
2020-12-31,18,adoption_domestic
2021-12-31,23,adoption_domestic
2022-12-31,51,adoption_domestic
2023-12-31,52,adoption_domestic
2024-12-31,54,adoption_domestic
2025-12-31,55,adoption_domestic
2001-12-31,828,protocols_domestic
2002-12-31,848,protocols_domestic
2003-12-31,1082,protocols_domestic
2004-12-31,1045,protocols_domestic
2005-12-31,1162,protocols_domestic
2006-12-31,1202,protocols_domestic
2007-12-31,1150,protocols_domestic
2008-12-31,1223,protocols_domestic
2009-12-31,1332,protocols_domestic
2010-12-31,1285,protocols_domestic
2011-12-31,1292,protocols_domestic
2012-12-31,1238,protocols_domestic
2013-12-31,1242,protocols_domestic
2014-12-31,1314,protocols_domestic
2015-12-31,1368,protocols_domestic
2016-12-31,1300,protocols_domestic
2017-12-31,1230,protocols_domestic
2018-12-31,1267,protocols_domestic
2019-12-31,1222,protocols_domestic
2020-12-31,1233,protocols_domestic
2021-12-31,1354,protocols_domestic
2022-12-31,1501,protocols_domestic
2023-12-31,1462,protocols_domestic
2024-12-31,1417,protocols_domestic
2025-12-31,1258,protocols_domestic
2025-12-31,2,risk_domestic
