ownerOrg,period,count,component
Crypto Assets,0,36,adoption_domestic
Crypto Assets,1,32,adoption_domestic
Energy & Transportation,0,2,adoption_domestic
Energy & Transportation,1,3,adoption_domestic
Finance,0,6,adoption_domestic
Finance,1,4,adoption_domestic
Industrial Applications and Services,0,1,adoption_domestic
Industrial Applications and Services,1,1,adoption_domestic
Life Sciences,0,4,adoption_domestic
Life Sciences,1,4,adoption_domestic
Manufacturing,0,2,adoption_domestic
Manufacturing,1,2,adoption_domestic
Real Estate & Construction,0,3,adoption_domestic
Real Estate & Construction,1,3,adoption_domestic
Technology,0,5,adoption_domestic
Technology,1,5,adoption_domestic
Trade & Services,0,5,adoption_domestic
Trade & Services,1,6,adoption_domestic
Crypto Assets,0,31,protocols_domestic
Crypto Assets,1,16,protocols_domestic
Energy & Transportation,0,162,protocols_domestic
Energy & Transportation,1,160,protocols_domestic
Finance,0,104,protocols_domestic
Finance,1,100,protocols_domestic
Industrial Applications and Services,0,152,protocols_domestic
Industrial Applications and Services,1,160,protocols_domestic
Life Sciences,0,491,protocols_domestic
Life Sciences,1,508,protocols_domestic
Manufacturing,0,148,protocols_domestic
Manufacturing,1,156,protocols_domestic
Real Estate & Construction,0,68,protocols_domestic
Real Estate & Construction,1,78,protocols_domestic
Technology,0,121,protocols_domestic
Technology,1,126,protocols_domestic
Trade & Services,0,93,protocols_domestic
Trade & Services,1,93,protocols_domestic
Crypto Assets,0,2,risk_domestic
