cik,date,value,component
846913,2001-01-01,1,adoption_domestic
901696,2001-01-01,1,adoption_domestic
846913,2002-01-01,1,adoption_domestic
901696,2002-01-01,1,adoption_domestic
75488,2003-01-01,1,adoption_domestic
846913,2003-01-01,1,adoption_domestic
1004980,2003-01-01,1,adoption_domestic
1137019,2003-01-01,1,adoption_domestic
846913,2004-01-01,1,adoption_domestic
1137019,2004-01-01,1,adoption_domestic
1138951,2004-01-01,1,adoption_domestic
828064,2005-01-01,1,adoption_domestic
846913,2005-01-01,1,adoption_domestic
882509,2005-01-01,1,adoption_domestic
910638,2005-01-01,1,adoption_domestic
1137019,2005-01-01,1,adoption_domestic
1138951,2005-01-01,1,adoption_domestic
846913,2006-01-01,1,adoption_domestic
910638,2006-01-01,1,adoption_domestic
1138951,2006-01-01,1,adoption_domestic
890640,2007-01-01,1,adoption_domestic
910638,2007-01-01,1,adoption_domestic
890640,2008-01-01,1,adoption_domestic
910638,2008-01-01,1,adoption_domestic
890640,2009-01-01,1,adoption_domestic
910638,2009-01-01,1,adoption_domestic
1304161,2009-01-01,1,adoption_domestic
910638,2010-01-01,1,adoption_domestic
1080924,2010-01-01,1,adoption_domestic
1304161,2010-01-01,1,adoption_domestic
1304161,2011-01-01,1,adoption_domestic
1456137,2011-01-01,1,adoption_domestic
1304161,2012-01-01,1,adoption_domestic
1456137,2012-01-01,1,adoption_domestic
769397,2013-01-01,1,adoption_domestic
1304161,2013-01-01,1,adoption_domestic
1347870,2013-01-01,1,adoption_domestic
1456137,2013-01-01,1,adoption_domestic
718877,2014-01-01,1,adoption_domestic
769397,2014-01-01,1,adoption_domestic
1301704,2014-01-01,1,adoption_domestic
1304161,2014-01-01,1,adoption_domestic
1346022,2014-01-01,1,adoption_domestic
1347870,2014-01-01,1,adoption_domestic
1569329,2014-01-01,1,adoption_domestic
718877,2015-01-01,1,adoption_domestic
769397,2015-01-01,1,adoption_domestic
1301704,2015-01-01,1,adoption_domestic
1304161,2015-01-01,1,adoption_domestic
1346022,2015-01-01,1,adoption_domestic
1449934,2015-01-01,1,adoption_domestic
1481792,2015-01-01,1,adoption_domestic
1569329,2015-01-01,1,adoption_domestic
769397,2016-01-01,1,adoption_domestic
1569329,2016-01-01,1,adoption_domestic
748268,2017-01-01,1,adoption_domestic
769397,2017-01-01,1,adoption_domestic
1568385,2017-01-01,1,adoption_domestic
1569329,2017-01-01,1,adoption_domestic
1569329,2018-01-01,1,adoption_domestic
1667313,2018-01-01,1,adoption_domestic
915779,2019-01-01,1,adoption_domestic
1122904,2019-01-01,1,adoption_domestic
1569329,2019-01-01,1,adoption_domestic
1615999,2019-01-01,1,adoption_domestic
1667313,2019-01-01,1,adoption_domestic
915779,2020-01-01,1,adoption_domestic
1122904,2020-01-01,1,adoption_domestic
1515139,2020-01-01,1,adoption_domestic
1615999,2020-01-01,1,adoption_domestic
1667313,2020-01-01,1,adoption_domestic
1766352,2020-01-01,1,adoption_domestic
915779,2021-01-01,1,adoption_domestic
1021096,2021-01-01,1,adoption_domestic
