cik,date,value,component
74783,2001-01-01,1,adoption_domestic
86115,2001-01-01,1,adoption_domestic
864683,2001-01-01,1,adoption_domestic
890923,2001-01-01,1,adoption_domestic
943895,2001-01-01,1,adoption_domestic
1000693,2001-01-01,1,adoption_domestic
74783,2002-01-01,1,adoption_domestic
86115,2002-01-01,1,adoption_domestic
350797,2002-01-01,1,adoption_domestic
714154,2002-01-01,1,adoption_domestic
722077,2002-01-01,1,adoption_domestic
837991,2002-01-01,1,adoption_domestic
864683,2002-01-01,1,adoption_domestic
917273,2002-01-01,1,adoption_domestic
943895,2002-01-01,1,adoption_domestic
1005010,2002-01-01,1,adoption_domestic
1005284,2002-01-01,1,adoption_domestic
46989,2003-01-01,1,adoption_domestic
59440,2003-01-01,1,adoption_domestic
74783,2003-01-01,1,adoption_domestic
77543,2003-01-01,1,adoption_domestic
104169,2003-01-01,1,adoption_domestic
350797,2003-01-01,1,adoption_domestic
784977,2003-01-01,1,adoption_domestic
837991,2003-01-01,1,adoption_domestic
858346,2003-01-01,1,adoption_domestic
864683,2003-01-01,1,adoption_domestic
919482,2003-01-01,1,adoption_domestic
934749,2003-01-01,1,adoption_domestic
943895,2003-01-01,1,adoption_domestic
1003214,2003-01-01,1,adoption_domestic
1005010,2003-01-01,1,adoption_domestic
1005284,2003-01-01,1,adoption_domestic
1085776,2003-01-01,1,adoption_domestic
1121484,2003-01-01,1,adoption_domestic
1130194,2003-01-01,1,adoption_domestic
1139650,2003-01-01,1,adoption_domestic
1179484,2003-01-01,1,adoption_domestic
46989,2004-01-01,1,adoption_domestic
59440,2004-01-01,1,adoption_domestic
74783,2004-01-01,1,adoption_domestic
104169,2004-01-01,1,adoption_domestic
107687,2004-01-01,1,adoption_domestic
355199,2004-01-01,1,adoption_domestic
784977,2004-01-01,1,adoption_domestic
858346,2004-01-01,1,adoption_domestic
864683,2004-01-01,1,adoption_domestic
899689,2004-01-01,1,adoption_domestic
917273,2004-01-01,1,adoption_domestic
934749,2004-01-01,1,adoption_domestic
1003214,2004-01-01,1,adoption_domestic
1005010,2004-01-01,1,adoption_domestic
1005284,2004-01-01,1,adoption_domestic
1040660,2004-01-01,1,adoption_domestic
1040765,2004-01-01,1,adoption_domestic
1121484,2004-01-01,1,adoption_domestic
1130194,2004-01-01,1,adoption_domestic
46989,2005-01-01,1,adoption_domestic
59440,2005-01-01,1,adoption_domestic
104169,2005-01-01,1,adoption_domestic
355199,2005-01-01,1,adoption_domestic
732485,2005-01-01,1,adoption_domestic
784977,2005-01-01,1,adoption_domestic
864683,2005-01-01,1,adoption_domestic
888228,2005-01-01,1,adoption_domestic
899689,2005-01-01,1,adoption_domestic
923808,2005-01-01,1,adoption_domestic
1003214,2005-01-01,1,adoption_domestic
1005010,2005-01-01,1,adoption_domestic
1005284,2005-01-01,1,adoption_domestic
1010002,2005-01-01,1,adoption_domestic
1040660,2005-01-01,1,adoption_domestic
1040765,2005-01-01,1,adoption_domestic
1121484,2005-01-01,1,adoption_domestic
1130194,2005-01-01,1,adoption_domestic
1135017,2005-01-01,1,adoption_domestic
46989,2006-01-01,1,adoption_domestic
59440,2006-01-01,1,adoption_domestic
104169,2006-01-01,1,adoption_domestic
203077,2006-01-01,1,adoption_domestic
355199,2006-01-01,1,adoption_domestic
888228,2006-01-01,1,adoption_domestic
899689,2006-01-01,1,adoption_domestic
1005010,2006-01-01,1,adoption_domestic
1005284,2006-01-01,1,adoption_domestic
1010002,2006-01-01,1,adoption_domestic
1040765,2006-01-01,1,adoption_domestic
1041403,2006-01-01,1,adoption_domestic
1082510,2006-01-01,1,adoption_domestic
1121484,2006-01-01,1,adoption_domestic
1135017,2006-01-01,1,adoption_domestic
1306944,2006-01-01,1,adoption_domestic
54502,2007-01-01,1,adoption_domestic
59440,2007-01-01,1,adoption_domestic
104169,2007-01-01,1,adoption_domestic
203077,2007-01-01,1,adoption_domestic
864683,2007-01-01,1,adoption_domestic
888228,2007-01-01,1,adoption_domestic
899689,2007-01-01,1,adoption_domestic
1005010,2007-01-01,1,adoption_domestic
1005284,2007-01-01,1,adoption_domestic
1040765,2007-01-01,1,adoption_domestic
1121484,2007-01-01,1,adoption_domestic
1135017,2007-01-01,1,adoption_domestic
1306944,2007-01-01,1,adoption_domestic
54502,2008-01-01,1,adoption_domestic
59440,2008-01-01,1,adoption_domestic
104169,2008-01-01,1,adoption_domestic
203077,2008-01-01,1,adoption_domestic
776867,2008-01-01,1,adoption_domestic
863157,2008-01-01,1,adoption_domestic
864683,2008-01-01,1,adoption_domestic
888228,2008-01-01,1,adoption_domestic
899689,2008-01-01,1,adoption_domestic
1005010,2008-01-01,1,adoption_domestic
1005284,2008-01-01,1,adoption_domestic
1011064,2008-01-01,1,adoption_domestic
1032033,2008-01-01,1,adoption_domestic
1040765,2008-01-01,1,adoption_domestic
1045942,2008-01-01,1,adoption_domestic
1046995,2008-01-01,1,adoption_domestic
