ownerOrg,period,count,component
Crypto Assets,0,9,domestic
Crypto Assets,1,15,domestic
Energy & Transportation,0,73,domestic
Energy & Transportation,1,93,domestic
Finance,0,189,domestic
Finance,1,207,domestic
Industrial Applications and Services,0,124,domestic
Industrial Applications and Services,1,159,domestic
Life Sciences,0,176,domestic
Life Sciences,1,232,domestic
Manufacturing,0,214,domestic
Manufacturing,1,307,domestic
Real Estate & Construction,0,214,domestic
Real Estate & Construction,1,258,domestic
Technology,0,134,domestic
Technology,1,169,domestic
Trade & Services,0,250,domestic
Trade & Services,1,338,domestic
Crypto Assets,1,5,international
Energy & Transportation,0,11,international
Energy & Transportation,1,35,international
Finance,0,15,international
Finance,1,29,international
Industrial Applications and Services,0,15,international
Industrial Applications and Services,1,17,international
Life Sciences,0,11,international
Life Sciences,1,18,international
Manufacturing,0,31,international
Manufacturing,1,74,international
Real Estate & Construction,0,7,international
Real Estate & Construction,1,17,international
Technology,0,27,international
Technology,1,52,international
Trade & Services,0,25,international
Trade & Services,1,60,international
