filing_date,count,component
2001-12-31,8,adoption_domestic
2002-12-31,8,adoption_domestic
2003-12-31,10,adoption_domestic
2004-12-31,10,adoption_domestic
2005-12-31,12,adoption_domestic
2006-12-31,15,adoption_domestic
2007-12-31,22,adoption_domestic
2008-12-31,18,adoption_domestic
2009-12-31,14,adoption_domestic
2010-12-31,18,adoption_domestic
2011-12-31,19,adoption_domestic
2012-12-31,19,adoption_domestic
2013-12-31,16,adoption_domestic
2014-12-31,19,adoption_domestic
2015-12-31,15,adoption_domestic
2016-12-31,22,adoption_domestic
2017-12-31,15,adoption_domestic
2018-12-31,27,adoption_domestic
2019-12-31,21,adoption_domestic
2020-12-31,18,adoption_domestic
2021-12-31,23,adoption_domestic
2022-12-31,51,adoption_domestic
2023-12-31,52,adoption_domestic
2024-12-31,54,adoption_domestic
2025-12-31,55,adoption_domestic
2001-12-31,827,protocols_domestic
2002-12-31,847,protocols_domestic
2003-12-31,1082,protocols_domestic
2004-12-31,1048,protocols_domestic
2005-12-31,1159,protocols_domestic
2006-12-31,1197,protocols_domestic
2007-12-31,1152,protocols_domestic
2008-12-31,1223,protocols_domestic
2009-12-31,1330,protocols_domestic
2010-12-31,1290,protocols_domestic
2011-12-31,1291,protocols_domestic
2012-12-31,1236,protocols_domestic
2013-12-31,1242,protocols_domestic
2014-12-31,1311,protocols_domestic
2015-12-31,1363,protocols_domestic
2016-12-31,1300,protocols_domestic
2017-12-31,1231,protocols_domestic
2018-12-31,1270,protocols_domestic
2019-12-31,1224,protocols_domestic
2020-12-31,1228,protocols_domestic
2021-12-31,1353,protocols_domestic
2022-12-31,1496,protocols_domestic
2023-12-31,1455,protocols_domestic
2024-12-31,1403,protocols_domestic
2025-12-31,1254,protocols_domestic
2025-12-31,2,risk_domestic
