cik,date,value,component
896156,2001-01-01,1,adoption_domestic
1038133,2001-01-01,1,adoption_domestic
896156,2002-01-01,1,adoption_domestic
1079023,2002-01-01,1,adoption_domestic
1129989,2002-01-01,1,adoption_domestic
75488,2003-01-01,1,adoption_domestic
100517,2003-01-01,1,adoption_domestic
101778,2003-01-01,1,adoption_domestic
812701,2003-01-01,1,adoption_domestic
878375,2003-01-01,1,adoption_domestic
883293,2003-01-01,1,adoption_domestic
896156,2003-01-01,1,adoption_domestic
921114,2003-01-01,1,adoption_domestic
1004980,2003-01-01,1,adoption_domestic
1013149,2003-01-01,1,adoption_domestic
1079023,2003-01-01,1,adoption_domestic
1129989,2003-01-01,1,adoption_domestic
1170010,2003-01-01,1,adoption_domestic
3133,2004-01-01,1,adoption_domestic
37643,2004-01-01,1,adoption_domestic
48105,2004-01-01,1,adoption_domestic
48638,2004-01-01,1,adoption_domestic
101778,2004-01-01,1,adoption_domestic
784770,2004-01-01,1,adoption_domestic
808066,2004-01-01,1,adoption_domestic
812701,2004-01-01,1,adoption_domestic
826595,2004-01-01,1,adoption_domestic
850877,2004-01-01,1,adoption_domestic
878375,2004-01-01,1,adoption_domestic
893755,2004-01-01,1,adoption_domestic
896156,2004-01-01,1,adoption_domestic
1066605,2004-01-01,1,adoption_domestic
1086670,2004-01-01,1,adoption_domestic
1113148,2004-01-01,1,adoption_domestic
1122976,2004-01-01,1,adoption_domestic
1163302,2004-01-01,1,adoption_domestic
1170010,2004-01-01,1,adoption_domestic
3133,2005-01-01,1,adoption_domestic
48105,2005-01-01,1,adoption_domestic
48638,2005-01-01,1,adoption_domestic
50493,2005-01-01,1,adoption_domestic
109156,2005-01-01,1,adoption_domestic
202375,2005-01-01,1,adoption_domestic
878375,2005-01-01,1,adoption_domestic
896156,2005-01-01,1,adoption_domestic
1015535,2005-01-01,1,adoption_domestic
1064015,2005-01-01,1,adoption_domestic
1123979,2005-01-01,1,adoption_domestic
1170010,2005-01-01,1,adoption_domestic
1268384,2005-01-01,1,adoption_domestic
1278739,2005-01-01,1,adoption_domestic
1309987,2005-01-01,1,adoption_domestic
1319161,2005-01-01,1,adoption_domestic
3133,2006-01-01,1,adoption_domestic
48105,2006-01-01,1,adoption_domestic
48638,2006-01-01,1,adoption_domestic
50493,2006-01-01,1,adoption_domestic
70793,2006-01-01,1,adoption_domestic
812701,2006-01-01,1,adoption_domestic
862510,2006-01-01,1,adoption_domestic
878375,2006-01-01,1,adoption_domestic
896156,2006-01-01,1,adoption_domestic
944696,2006-01-01,1,adoption_domestic
1028318,2006-01-01,1,adoption_domestic
1097081,2006-01-01,1,adoption_domestic
1108991,2006-01-01,1,adoption_domestic
1123979,2006-01-01,1,adoption_domestic
1138602,2006-01-01,1,adoption_domestic
1145547,2006-01-01,1,adoption_domestic
1170010,2006-01-01,1,adoption_domestic
1193159,2006-01-01,1,adoption_domestic
1256536,2006-01-01,1,adoption_domestic
1266700,2006-01-01,1,adoption_domestic
1267238,2006-01-01,1,adoption_domestic
1268384,2006-01-01,1,adoption_domestic
1309987,2006-01-01,1,adoption_domestic
1319161,2006-01-01,1,adoption_domestic
50493,2007-01-01,1,adoption_domestic
878375,2007-01-01,1,adoption_domestic
883241,2007-01-01,1,adoption_domestic
896156,2007-01-01,1,adoption_domestic
1013149,2007-01-01,1,adoption_domestic
1097081,2007-01-01,1,adoption_domestic
1142576,2007-01-01,1,adoption_domestic
1170010,2007-01-01,1,adoption_domestic
1178670,2007-01-01,1,adoption_domestic
1266700,2007-01-01,1,adoption_domestic
1309987,2007-01-01,1,adoption_domestic
1319161,2007-01-01,1,adoption_domestic
1350886,2007-01-01,1,adoption_domestic
50493,2008-01-01,1,adoption_domestic
101778,2008-01-01,1,adoption_domestic
797448,2008-01-01,1,adoption_domestic
831001,2008-01-01,1,adoption_domestic
896156,2008-01-01,1,adoption_domestic
1013149,2008-01-01,1,adoption_domestic
1059790,2008-01-01,1,adoption_domestic
1094019,2008-01-01,1,adoption_domestic
1097081,2008-01-01,1,adoption_domestic
1158833,2008-01-01,1,adoption_domestic
1170010,2008-01-01,1,adoption_domestic
1178670,2008-01-01,1,adoption_domestic
1266700,2008-01-01,1,adoption_domestic
1309987,2008-01-01,1,adoption_domestic
1319161,2008-01-01,1,adoption_domestic
1350886,2008-01-01,1,adoption_domestic
1415404,2008-01-01,1,adoption_domestic
40729,2009-01-01,1,adoption_domestic
50493,2009-01-01,1,adoption_domestic
101778,2009-01-01,1,adoption_domestic
216877,2009-01-01,1,adoption_domestic
715812,2009-01-01,1,adoption_domestic
831001,2009-01-01,1,adoption_domestic
896156,2009-01-01,1,adoption_domestic
1094019,2009-01-01,1,adoption_domestic
1170010,2009-01-01,1,adoption_domestic
1178670,2009-01-01,1,adoption_domestic
1240093,2009-01-01,1,adoption_domestic
1309987,2009-01-01,1,adoption_domestic
1319161,2009-01-01,1,adoption_domestic
1353637,2009-01-01,1,adoption_domestic
19745,2010-01-01,1,adoption_domestic
216877,2010-01-01,1,adoption_domestic
319240,2010-01-01,1,adoption_domestic
700564,2010-01-01,1,adoption_domestic
896156,2010-01-01,1,adoption_domestic
1053439,2010-01-01,1,adoption_domestic
1058198,2010-01-01,1,adoption_domestic
1091862,2010-01-01,1,adoption_domestic
1094019,2010-01-01,1,adoption_domestic
1131096,2010-01-01,1,adoption_domestic
1131907,2010-01-01,1,adoption_domestic
1170010,2010-01-01,1,adoption_domestic
1178670,2010-01-01,1,adoption_domestic
1309987,2010-01-01,1,adoption_domestic
1316898,2010-01-01,1,adoption_domestic
1319161,2010-01-01,1,adoption_domestic
1323274,2010-01-01,1,adoption_domestic
1355001,2010-01-01,1,adoption_domestic
1360530,2010-01-01,1,adoption_domestic
1431824,2010-01-01,1,adoption_domestic
7323,2011-01-01,1,adoption_domestic
44570,2011-01-01,1,adoption_domestic
65984,2011-01-01,1,adoption_domestic
66901,2011-01-01,1,adoption_domestic
71508,2011-01-01,1,adoption_domestic
202584,2011-01-01,1,adoption_domestic
700564,2011-01-01,1,adoption_domestic
861361,2011-01-01,1,adoption_domestic
879407,2011-01-01,1,adoption_domestic
896156,2011-01-01,1,adoption_domestic
1053439,2011-01-01,1,adoption_domestic
1094019,2011-01-01,1,adoption_domestic
1131096,2011-01-01,1,adoption_domestic
1131907,2011-01-01,1,adoption_domestic
1170010,2011-01-01,1,adoption_domestic
1178670,2011-01-01,1,adoption_domestic
1316898,2011-01-01,1,adoption_domestic
1323274,2011-01-01,1,adoption_domestic
1348952,2011-01-01,1,adoption_domestic
1410428,2011-01-01,1,adoption_domestic
1427437,2011-01-01,1,adoption_domestic
1431824,2011-01-01,1,adoption_domestic
1477294,2011-01-01,1,adoption_domestic
1501017,2011-01-01,1,adoption_domestic
19745,2012-01-01,1,adoption_domestic
700564,2012-01-01,1,adoption_domestic
749647,2012-01-01,1,adoption_domestic
861361,2012-01-01,1,adoption_domestic
878375,2012-01-01,1,adoption_domestic
896156,2012-01-01,1,adoption_domestic
1001614,2012-01-01,1,adoption_domestic
1049502,2012-01-01,1,adoption_domestic
1065837,2012-01-01,1,adoption_domestic
1071411,2012-01-01,1,adoption_domestic
1131907,2012-01-01,1,adoption_domestic
1170010,2012-01-01,1,adoption_domestic
1178670,2012-01-01,1,adoption_domestic
1316898,2012-01-01,1,adoption_domestic
1365916,2012-01-01,1,adoption_domestic
1428522,2012-01-01,1,adoption_domestic
1439813,2012-01-01,1,adoption_domestic
1477294,2012-01-01,1,adoption_domestic
1494904,2012-01-01,1,adoption_domestic
