filing_date,count,component
2001-12-31,2,adoption_domestic
2002-12-31,3,adoption_domestic
2003-12-31,13,adoption_domestic
2004-12-31,19,adoption_domestic
2005-12-31,16,adoption_domestic
2006-12-31,24,adoption_domestic
2007-12-31,13,adoption_domestic
2008-12-31,17,adoption_domestic
2009-12-31,14,adoption_domestic
2010-12-31,20,adoption_domestic
2011-12-31,24,adoption_domestic
2012-12-31,20,adoption_domestic
2013-12-31,14,adoption_domestic
2014-12-31,18,adoption_domestic
2015-12-31,14,adoption_domestic
2016-12-31,15,adoption_domestic
2017-12-31,17,adoption_domestic
2018-12-31,53,adoption_domestic
2019-12-31,42,adoption_domestic
2020-12-31,42,adoption_domestic
2021-12-31,57,adoption_domestic
2022-12-31,110,adoption_domestic
2023-12-31,116,adoption_domestic
2024-12-31,106,adoption_domestic
2025-12-31,99,adoption_domestic
2018-12-31,12,development_domestic
2019-12-31,4,development_domestic
2020-12-31,7,development_domestic
2021-12-31,9,development_domestic
2022-12-31,7,development_domestic
2023-12-31,7,development_domestic
2024-12-31,5,development_domestic
2025-12-31,8,development_domestic
2002-12-31,3,risk_domestic
2003-12-31,3,risk_domestic
2004-12-31,4,risk_domestic
2005-12-31,2,risk_domestic
2006-12-31,2,risk_domestic
2007-12-31,2,risk_domestic
2008-12-31,4,risk_domestic
2009-12-31,3,risk_domestic
2010-12-31,1,risk_domestic
2011-12-31,1,risk_domestic
2012-12-31,1,risk_domestic
2013-12-31,2,risk_domestic
2014-12-31,2,risk_domestic
2015-12-31,2,risk_domestic
2016-12-31,3,risk_domestic
2017-12-31,2,risk_domestic
2018-12-31,2,risk_domestic
2019-12-31,2,risk_domestic
2020-12-31,3,risk_domestic
2021-12-31,4,risk_domestic
2022-12-31,8,risk_domestic
2023-12-31,13,risk_domestic
2024-12-31,11,risk_domestic
2025-12-31,19,risk_domestic
