filing_date,count,component
2001-12-31,2,adoption_domestic
2002-12-31,2,adoption_domestic
2003-12-31,4,adoption_domestic
2004-12-31,3,adoption_domestic
2005-12-31,6,adoption_domestic
2006-12-31,3,adoption_domestic
2007-12-31,2,adoption_domestic
2008-12-31,2,adoption_domestic
2009-12-31,3,adoption_domestic
2010-12-31,3,adoption_domestic
2011-12-31,2,adoption_domestic
2012-12-31,2,adoption_domestic
2013-12-31,4,adoption_domestic
2014-12-31,10,adoption_domestic
2015-12-31,8,adoption_domestic
2016-12-31,2,adoption_domestic
2017-12-31,4,adoption_domestic
2018-12-31,2,adoption_domestic
2019-12-31,5,adoption_domestic
2020-12-31,6,adoption_domestic
2021-12-31,18,adoption_domestic
2022-12-31,106,adoption_domestic
2023-12-31,141,adoption_domestic
2024-12-31,103,adoption_domestic
2025-12-31,82,adoption_domestic
2021-12-31,23,marketplace_domestic
2022-12-31,40,marketplace_domestic
2023-12-31,6,marketplace_domestic
2024-12-31,11,marketplace_domestic
2025-12-31,5,marketplace_domestic
2014-12-31,1,risk_domestic
2015-12-31,0,risk_domestic
2016-12-31,0,risk_domestic
2017-12-31,0,risk_domestic
2018-12-31,0,risk_domestic
2019-12-31,0,risk_domestic
2020-12-31,0,risk_domestic
2021-12-31,0,risk_domestic
2022-12-31,0,risk_domestic
2023-12-31,4,risk_domestic
2024-12-31,1,risk_domestic
2025-12-31,4,risk_domestic
